"gene","n","mean_log2_fpkm","median_log2_fpkm","sd_log2_fpkm"
"FOLH1",266,6.53175773958091,7.31333336799592,2.70887707970304
"KLK3",266,9.23698611047978,10.3637813608165,3.68071436420232
"AR",266,6.38567951589347,6.94525765208422,2.44992499089869
"NKX3-1",266,7.26032646335465,8.04377121409832,2.36632014645258
"TMPRSS2",266,6.43735334634015,7.1431264432502,2.55152164841682
"AMACR",266,5.45411380806583,5.07889198199723,2.16558206071653
"ERG",266,3.48099151619133,2.83635614405577,1.90792900474505
"MKI67",266,2.8986888036621,2.90261328802889,1.17671614761549
"CDH1",266,6.31718592013566,6.36260131834915,1.17763618093957
"VIM",266,8.26587518421309,8.28070517232841,1.27342142154983
"AURKA",266,2.92588426546357,2.93430682637409,0.954806217855259
"BRCA1",266,1.79484358521218,1.65721373758427,0.733543088880494
"BRCA2",266,0.713105314125216,0.598946793391767,0.482291948378183
"MYC",266,5.05533085123344,5.21737471015944,1.36906136289879
"TP53",266,3.77240922578697,3.98916552490483,1.12558390068212
"PTEN",266,3.02761724593641,3.22095689900163,0.998950462321586
"RB1",266,3.19949998266539,3.25193644682355,0.785713734162044
"TTF1",266,2.76037419604782,2.75879683518526,0.44343283896876
"INSM1",266,1.25319161549566,0.656863250547443,1.59548855697663
"NKX2-1",266,0.790945390814171,0.219716353341088,1.33921553364214
"CHGA",266,1.53824381322352,0.197364742301402,2.51185000757921
"CHGB",266,1.1840653330289,0.228063532745039,1.8272867912737
"TFRC",266,4.06939503764325,3.94599492248251,1.16197839807953
"NCAM1",266,0.891802008203015,0.237801071990315,1.27629275176975
"SCG2",266,1.2669344444266,0.739846507474641,1.39479215694138
"SYP",266,1.70331300731538,1.19278542404474,1.35218691937568
