"gene","group","pearson","ppearson","spearman","pspearman","n","padj_pearson","padj_spearman"
"ERG","WT_control",0.995750738452015,0.00424926154798498,0.774596669241483,0.225403330758516,4,0.0934837540556696,0.330591551779157
"AMACR","WT_control",0.841133007932162,0.158866992067838,0.774596669241483,0.225403330758516,4,0.574872280764515,0.330591551779157
"NCAM1","WT_control",0.671114736345517,0.328885263654483,0.774596669241483,0.225403330758516,4,0.578614230611378,0.330591551779157
"CHGA","WT_control",0.658091591002367,0.341908408997633,0.774596669241483,0.225403330758516,4,0.578614230611378,0.330591551779157
"SYP","WT_control",0.440473955146786,0.559526044853214,0.258198889747161,0.741801110252839,4,0.724092528633572,0.741801110252839
"CDH1","WT_control",-0.205695181245402,0.794304818754598,-0.258198889747161,0.741801110252839,4,0.794304818754598,0.741801110252839
"SCG2","WT_control",-0.220004635211847,0.779995364788153,-0.258198889747161,0.741801110252839,4,0.794304818754598,0.741801110252839
"TMPRSS2","WT_control",-0.333333333333333,0.666666666666667,-0.333333333333333,0.666666666666667,4,0.733333333333334,0.741801110252839
"PTEN","WT_control",-0.347219817768599,0.652780182231401,-0.258198889747161,0.741801110252839,4,0.733333333333334,0.741801110252839
"VIM","WT_control",-0.385976368642019,0.614023631357981,-0.258198889747161,0.741801110252839,4,0.733333333333334,0.741801110252839
"TTF1","WT_control",-0.461416241945968,0.538583758054032,-0.258198889747161,0.741801110252839,4,0.724092528633572,0.741801110252839
"ACP3","WT_control",-0.522276652583085,0.477723347416915,-0.774596669241483,0.225403330758516,4,0.700660909544809,0.330591551779157
"TFRC","WT_control",-0.627869048125035,0.372130951874965,-0.774596669241483,0.225403330758516,4,0.58477721008923,0.330591551779157
"BRCA1","WT_control",-0.712563859617742,0.287436140382257,-0.774596669241483,0.225403330758516,4,0.574872280764515,0.330591551779157
"AR","WT_control",-0.728593779487908,0.271406220512092,-0.774596669241483,0.225403330758516,4,0.574872280764515,0.330591551779157
"MYC","WT_control",-0.742696231024492,0.257303768975508,-0.774596669241483,0.225403330758516,4,0.574872280764515,0.330591551779157
"AURKA","WT_control",-0.758425896345578,0.241574103654421,-0.774596669241483,0.225403330758516,4,0.574872280764515,0.330591551779157
"BRCA2","WT_control",-0.811751021672678,0.188248978327322,-0.774596669241483,0.225403330758516,4,0.574872280764515,0.330591551779157
"RB1","WT_control",-0.825657908889842,0.174342091110158,-0.774596669241483,0.225403330758516,4,0.574872280764515,0.330591551779157
"CHGB","WT_control",-0.903461016792806,0.0965389832071936,-0.774596669241483,0.225403330758516,4,0.530964407639565,0.330591551779157
"MKI67","WT_control",-0.928552654866802,0.071447345133198,-0.774596669241483,0.225403330758516,4,0.523947197643452,0.330591551779157
"INSM1","WT_control",-0.989128783532432,0.0108712164675678,-0.774596669241483,0.225403330758516,4,0.119583381143246,0.330591551779157
"AR","WT_ISA",NA,NA,NA,NA,4,NA,NA
"TMPRSS2","WT_ISA",NA,NA,NA,NA,4,NA,NA
"AMACR","WT_ISA",NA,NA,NA,NA,4,NA,NA
"ERG","WT_ISA",NA,NA,NA,NA,4,NA,NA
"MKI67","WT_ISA",NA,NA,NA,NA,4,NA,NA
"CDH1","WT_ISA",NA,NA,NA,NA,4,NA,NA
"VIM","WT_ISA",NA,NA,NA,NA,4,NA,NA
"AURKA","WT_ISA",NA,NA,NA,NA,4,NA,NA
"BRCA1","WT_ISA",NA,NA,NA,NA,4,NA,NA
"BRCA2","WT_ISA",NA,NA,NA,NA,4,NA,NA
"MYC","WT_ISA",NA,NA,NA,NA,4,NA,NA
"PTEN","WT_ISA",NA,NA,NA,NA,4,NA,NA
"RB1","WT_ISA",NA,NA,NA,NA,4,NA,NA
"TTF1","WT_ISA",NA,NA,NA,NA,4,NA,NA
"INSM1","WT_ISA",NA,NA,NA,NA,4,NA,NA
"ACP3","WT_ISA",NA,NA,NA,NA,4,NA,NA
"CHGA","WT_ISA",NA,NA,NA,NA,4,NA,NA
"CHGB","WT_ISA",NA,NA,NA,NA,4,NA,NA
"TFRC","WT_ISA",NA,NA,NA,NA,4,NA,NA
"NCAM1","WT_ISA",NA,NA,NA,NA,4,NA,NA
"SCG2","WT_ISA",NA,NA,NA,NA,4,NA,NA
"SYP","WT_ISA",NA,NA,NA,NA,4,NA,NA
